scenario,run,pid,sample,elapsed_ms,rss_kb
warm-launch,6,83727,12,1539.750,97440
warm-launch,6,83727,13,1667.594,97440
warm-launch,6,83727,14,1800.232,97440
warm-launch,6,83727,15,1935.324,97440
warm-launch,6,83727,16,2073.352,97440
warm-launch,6,83727,17,2207.507,97440
warm-launch,6,83727,18,2344.556,97440
warm-launch,6,83727,19,2478.214,97440
warm-launch,6,83727,20,2610.358,97440
warm-launch,6,83727,21,2745.741,97440
warm-launch,6,83727,22,2887.808,97440
warm-launch,6,83727,23,3027.645,97440
warm-launch,7,84134,0,11.982,22576
warm-launch,7,84134,1,139.105,32784
warm-launch,7,84134,2,264.512,87312
warm-launch,7,84134,3,390.602,97296
warm-launch,7,84134,4,517.321,97360
warm-launch,7,84134,5,641.823,97728
warm-launch,7,84134,6,768.615,97728
warm-launch,7,84134,7,895.402,97632
warm-launch,7,84134,8,1020.821,97632
warm-launch,7,84134,9,1148.618,97632
warm-launch,7,84134,10,1282.236,97632
warm-launch,7,84134,11,1414.249,97632
warm-launch,7,84134,12,1550.119,97632
warm-launch,7,84134,13,1684.546,97632
warm-launch,7,84134,14,1818.809,97632
warm-launch,7,84134,15,1957.014,97632
warm-launch,7,84134,16,2092.993,97632
warm-launch,7,84134,17,2230.611,97632
warm-launch,7,84134,18,2360.222,97632
warm-launch,7,84134,19,2495.644,97632
warm-launch,7,84134,20,2627.488,97632
warm-launch,7,84134,21,2752.968,97632
warm-launch,7,84134,22,2879.373,97632
warm-launch,7,84134,23,3011.782,97632
