scenario,run,pid,name,type,start_timestamp,end_timestamp,duration_ms
first-use-short-v3,1,86601,process_started,event,2026-07-13 19:56:56.751026+0200,,
first-use-short-v3,1,86601,retained_store_opening,interval,2026-07-13 19:56:56.756674+0200,2026-07-13 19:56:56.776451+0200,19.777
first-use-short-v3,1,86601,service_container_construction,interval,2026-07-13 19:56:56.754061+0200,2026-07-13 19:56:56.876957+0200,122.896
first-use-short-v3,1,86601,app_initialization,interval,2026-07-13 19:56:56.754039+0200,2026-07-13 19:56:56.877020+0200,122.981
first-use-short-v3,1,86601,hotkey_registration,interval,2026-07-13 19:56:56.957725+0200,2026-07-13 19:56:56.984069+0200,26.344
first-use-short-v3,1,86601,hotkey_ready,event,2026-07-13 19:56:56.984082+0200,,
first-use-short-v3,1,86601,built_in_component_construction,interval,2026-07-13 19:56:56.984577+0200,2026-07-13 19:56:56.997446+0200,12.869
first-use-short-v3,1,86601,model_selection_restoration,interval,2026-07-13 19:56:56.997463+0200,2026-07-13 19:56:56.997573+0200,0.110
first-use-short-v3,1,86601,ui_ready,event,2026-07-13 19:56:57.087957+0200,,
first-use-short-v3,1,86601,process_to_ui_ready,interval,2026-07-13 19:56:56.750730+0200,2026-07-13 19:56:57.087965+0200,337.235
first-use-short-v3,1,86601,model_preparation,interval,2026-07-13 19:56:57.087164+0200,2026-07-13 19:56:57.402685+0200,315.521
first-use-short-v3,1,86601,final_transcription,interval,2026-07-13 19:56:57.087121+0200,2026-07-13 19:56:57.700354+0200,613.233
first-use-short-v3,2,87171,process_started,event,2026-07-13 19:57:01.098552+0200,,
first-use-short-v3,2,87171,retained_store_opening,interval,2026-07-13 19:57:01.103549+0200,2026-07-13 19:57:01.118035+0200,14.486
first-use-short-v3,2,87171,service_container_construction,interval,2026-07-13 19:57:01.101541+0200,2026-07-13 19:57:01.218904+0200,117.363
first-use-short-v3,2,87171,app_initialization,interval,2026-07-13 19:57:01.101524+0200,2026-07-13 19:57:01.218972+0200,117.448
first-use-short-v3,2,87171,hotkey_registration,interval,2026-07-13 19:57:01.388348+0200,2026-07-13 19:57:01.415064+0200,26.716
first-use-short-v3,2,87171,hotkey_ready,event,2026-07-13 19:57:01.415082+0200,,
first-use-short-v3,2,87171,built_in_component_construction,interval,2026-07-13 19:57:01.415628+0200,2026-07-13 19:57:01.429297+0200,13.669
first-use-short-v3,2,87171,model_selection_restoration,interval,2026-07-13 19:57:01.429317+0200,2026-07-13 19:57:01.429416+0200,0.099
first-use-short-v3,2,87171,ui_ready,event,2026-07-13 19:57:01.430927+0200,,
first-use-short-v3,2,87171,process_to_ui_ready,interval,2026-07-13 19:57:01.098264+0200,2026-07-13 19:57:01.430939+0200,332.675
first-use-short-v3,2,87171,model_preparation,interval,2026-07-13 19:57:01.527670+0200,2026-07-13 19:57:01.732093+0200,204.423
first-use-short-v3,2,87171,final_transcription,interval,2026-07-13 19:57:01.527601+0200,2026-07-13 19:57:01.922146+0200,394.545
first-use-short-v3,3,87756,process_started,event,2026-07-13 19:57:05.203871+0200,,
first-use-short-v3,3,87756,retained_store_opening,interval,2026-07-13 19:57:05.209033+0200,2026-07-13 19:57:05.224373+0200,15.340
first-use-short-v3,3,87756,service_container_construction,interval,2026-07-13 19:57:05.206507+0200,2026-07-13 19:57:05.322524+0200,116.017
first-use-short-v3,3,87756,app_initialization,interval,2026-07-13 19:57:05.206485+0200,2026-07-13 19:57:05.322586+0200,116.101
first-use-short-v3,3,87756,hotkey_registration,interval,2026-07-13 19:57:05.477484+0200,2026-07-13 19:57:05.502897+0200,25.413
first-use-short-v3,3,87756,hotkey_ready,event,2026-07-13 19:57:05.502915+0200,,
first-use-short-v3,3,87756,built_in_component_construction,interval,2026-07-13 19:57:05.503484+0200,2026-07-13 19:57:05.514989+0200,11.505
first-use-short-v3,3,87756,model_selection_restoration,interval,2026-07-13 19:57:05.515006+0200,2026-07-13 19:57:05.515105+0200,0.099
first-use-short-v3,3,87756,ui_ready,event,2026-07-13 19:57:05.516520+0200,,
first-use-short-v3,3,87756,process_to_ui_ready,interval,2026-07-13 19:57:05.203566+0200,2026-07-13 19:57:05.516531+0200,312.965
first-use-short-v3,3,87756,model_preparation,interval,2026-07-13 19:57:05.536019+0200,2026-07-13 19:57:05.746375+0200,210.356
first-use-short-v3,3,87756,final_transcription,interval,2026-07-13 19:57:05.535970+0200,2026-07-13 19:57:05.932432+0200,396.462
first-use-short-v3,4,88286,process_started,event,2026-07-13 19:57:09.291227+0200,,
first-use-short-v3,4,88286,retained_store_opening,interval,2026-07-13 19:57:09.296895+0200,2026-07-13 19:57:09.316083+0200,19.188
first-use-short-v3,4,88286,service_container_construction,interval,2026-07-13 19:57:09.294298+0200,2026-07-13 19:57:09.413260+0200,118.962
first-use-short-v3,4,88286,app_initialization,interval,2026-07-13 19:57:09.294267+0200,2026-07-13 19:57:09.413329+0200,119.062
first-use-short-v3,4,88286,hotkey_registration,interval,2026-07-13 19:57:09.568590+0200,2026-07-13 19:57:09.593983+0200,25.393
first-use-short-v3,4,88286,hotkey_ready,event,2026-07-13 19:57:09.593998+0200,,
first-use-short-v3,4,88286,built_in_component_construction,interval,2026-07-13 19:57:09.594506+0200,2026-07-13 19:57:09.609902+0200,15.396
first-use-short-v3,4,88286,model_selection_restoration,interval,2026-07-13 19:57:09.609917+0200,2026-07-13 19:57:09.610008+0200,0.091
first-use-short-v3,4,88286,ui_ready,event,2026-07-13 19:57:09.611375+0200,,
first-use-short-v3,4,88286,process_to_ui_ready,interval,2026-07-13 19:57:09.290878+0200,2026-07-13 19:57:09.611387+0200,320.509
first-use-short-v3,4,88286,model_preparation,interval,2026-07-13 19:57:09.634185+0200,2026-07-13 19:57:09.842774+0200,208.589
first-use-short-v3,4,88286,final_transcription,interval,2026-07-13 19:57:09.634128+0200,2026-07-13 19:57:10.028800+0200,394.672
first-use-short-v3,5,88794,process_started,event,2026-07-13 19:57:13.276062+0200,,
first-use-short-v3,5,88794,retained_store_opening,interval,2026-07-13 19:57:13.281409+0200,2026-07-13 19:57:13.296408+0200,14.999
