scenario,model,instance,sample,elapsed_ms,rss_kb
first-use-short-v2,parakeet-tdt-0.6b-v2,1,0,12.229,22080
first-use-short-v2,parakeet-tdt-0.6b-v2,1,1,147.923,32944
first-use-short-v2,parakeet-tdt-0.6b-v2,1,2,276.456,85296
first-use-short-v2,parakeet-tdt-0.6b-v2,1,3,400.714,107840
first-use-short-v2,parakeet-tdt-0.6b-v2,1,4,527.525,124144
first-use-short-v2,parakeet-tdt-0.6b-v2,1,5,658.760,131520
first-use-short-v2,parakeet-tdt-0.6b-v2,1,6,781.031,170352
first-use-short-v2,parakeet-tdt-0.6b-v2,1,7,911.333,171488
first-use-short-v2,parakeet-tdt-0.6b-v2,1,8,1041.855,171360
first-use-short-v2,parakeet-tdt-0.6b-v2,1,9,1174.782,171360
first-use-short-v2,parakeet-tdt-0.6b-v2,1,10,1298.896,171360
first-use-short-v2,parakeet-tdt-0.6b-v2,1,11,1431.624,171360
first-use-short-v2,parakeet-tdt-0.6b-v2,1,12,1564.637,171360
first-use-short-v2,parakeet-tdt-0.6b-v2,1,13,1694.915,171360
first-use-short-v2,parakeet-tdt-0.6b-v2,1,14,1823.426,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,1,15,1954.680,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,1,16,2088.885,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,1,17,2215.123,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,1,18,2340.116,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,1,19,2471.266,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,1,20,2595.351,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,1,21,2724.037,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,1,22,2863.391,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,1,23,2990.856,171344
first-use-short-v2,parakeet-tdt-0.6b-v2,2,0,8.205,23104
first-use-short-v2,parakeet-tdt-0.6b-v2,2,1,130.839,32944
first-use-short-v2,parakeet-tdt-0.6b-v2,2,2,256.473,85840
first-use-short-v2,parakeet-tdt-0.6b-v2,2,3,391.901,107904
first-use-short-v2,parakeet-tdt-0.6b-v2,2,4,523.809,127744
first-use-short-v2,parakeet-tdt-0.6b-v2,2,5,656.515,130800
first-use-short-v2,parakeet-tdt-0.6b-v2,2,6,788.465,169776
first-use-short-v2,parakeet-tdt-0.6b-v2,2,7,919.257,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,8,1048.932,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,9,1178.201,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,10,1318.840,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,11,1456.574,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,12,1585.517,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,13,1716.418,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,14,1839.751,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,15,1973.855,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,16,2110.717,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,17,2261.255,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,18,2408.587,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,19,2552.357,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,20,2688.407,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,2,21,2825.586,169888
first-use-short-v2,parakeet-tdt-0.6b-v2,3,0,8.066,21952
first-use-short-v2,parakeet-tdt-0.6b-v2,3,1,130.360,32848
first-use-short-v2,parakeet-tdt-0.6b-v2,3,2,252.407,85328
first-use-short-v2,parakeet-tdt-0.6b-v2,3,3,379.862,107744
first-use-short-v2,parakeet-tdt-0.6b-v2,3,4,512.135,126656
first-use-short-v2,parakeet-tdt-0.6b-v2,3,5,644.321,129584
first-use-short-v2,parakeet-tdt-0.6b-v2,3,6,781.297,168928
first-use-short-v2,parakeet-tdt-0.6b-v2,3,7,912.210,169072
first-use-short-v2,parakeet-tdt-0.6b-v2,3,8,1043.774,169072
first-use-short-v2,parakeet-tdt-0.6b-v2,3,9,1167.372,169072
