scenario,run,pid,name,type,start_timestamp,end_timestamp,duration_ms
first-use-short-v2,1,67157,process_started,event,2026-07-13 22:45:01.162319+0200,,
first-use-short-v2,1,67157,hotkey_registration,interval,2026-07-13 22:45:01.175856+0200,2026-07-13 22:45:01.205508+0200,29.652
first-use-short-v2,1,67157,hotkey_ready,event,2026-07-13 22:45:01.205531+0200,,
first-use-short-v2,1,67157,retained_store_opening,interval,2026-07-13 22:45:01.205564+0200,2026-07-13 22:45:01.227219+0200,21.655
first-use-short-v2,1,67157,service_container_construction,interval,2026-07-13 22:45:01.165112+0200,2026-07-13 22:45:01.330496+0200,165.384
first-use-short-v2,1,67157,app_initialization,interval,2026-07-13 22:45:01.165093+0200,2026-07-13 22:45:01.330558+0200,165.465
first-use-short-v2,1,67157,model_selection_restoration,interval,2026-07-13 22:45:01.513553+0200,2026-07-13 22:45:01.513620+0200,0.067
first-use-short-v2,1,67157,ui_ready,event,2026-07-13 22:45:01.514805+0200,,
first-use-short-v2,1,67157,process_to_ui_ready,interval,2026-07-13 22:45:01.161958+0200,2026-07-13 22:45:01.514817+0200,352.859
first-use-short-v2,1,67157,model_preparation,interval,2026-07-13 22:45:01.538444+0200,2026-07-13 22:45:01.870081+0200,331.637
first-use-short-v2,1,67157,final_transcription,interval,2026-07-13 22:45:01.538419+0200,2026-07-13 22:45:02.142804+0200,604.385
first-use-short-v2,2,67709,process_started,event,2026-07-13 22:45:05.346233+0200,,
first-use-short-v2,2,67709,hotkey_registration,interval,2026-07-13 22:45:05.359173+0200,2026-07-13 22:45:05.390044+0200,30.871
first-use-short-v2,2,67709,hotkey_ready,event,2026-07-13 22:45:05.390060+0200,,
first-use-short-v2,2,67709,retained_store_opening,interval,2026-07-13 22:45:05.390084+0200,2026-07-13 22:45:05.418992+0200,28.908
first-use-short-v2,2,67709,service_container_construction,interval,2026-07-13 22:45:05.350101+0200,2026-07-13 22:45:05.524413+0200,174.312
first-use-short-v2,2,67709,app_initialization,interval,2026-07-13 22:45:05.350078+0200,2026-07-13 22:45:05.524482+0200,174.404
first-use-short-v2,2,67709,model_selection_restoration,interval,2026-07-13 22:45:05.693034+0200,2026-07-13 22:45:05.693092+0200,0.058
first-use-short-v2,2,67709,ui_ready,event,2026-07-13 22:45:05.694154+0200,,
first-use-short-v2,2,67709,process_to_ui_ready,interval,2026-07-13 22:45:05.345728+0200,2026-07-13 22:45:05.694163+0200,348.435
first-use-short-v2,2,67709,model_preparation,interval,2026-07-13 22:45:05.720519+0200,2026-07-13 22:45:05.949098+0200,228.579
first-use-short-v2,2,67709,final_transcription,interval,2026-07-13 22:45:05.720494+0200,2026-07-13 22:45:06.119570+0200,399.076
first-use-short-v2,3,68252,process_started,event,2026-07-13 22:45:09.394285+0200,,
first-use-short-v2,3,68252,hotkey_registration,interval,2026-07-13 22:45:09.410468+0200,2026-07-13 22:45:09.452177+0200,41.709
first-use-short-v2,3,68252,hotkey_ready,event,2026-07-13 22:45:09.452195+0200,,
first-use-short-v2,3,68252,retained_store_opening,interval,2026-07-13 22:45:09.452230+0200,2026-07-13 22:45:09.468141+0200,15.911
first-use-short-v2,3,68252,service_container_construction,interval,2026-07-13 22:45:09.398542+0200,2026-07-13 22:45:09.568361+0200,169.819
first-use-short-v2,3,68252,app_initialization,interval,2026-07-13 22:45:09.398505+0200,2026-07-13 22:45:09.568415+0200,169.910
first-use-short-v2,3,68252,model_selection_restoration,interval,2026-07-13 22:45:09.734862+0200,2026-07-13 22:45:09.734918+0200,0.056
first-use-short-v2,3,68252,ui_ready,event,2026-07-13 22:45:09.735954+0200,,
first-use-short-v2,3,68252,process_to_ui_ready,interval,2026-07-13 22:45:09.393924+0200,2026-07-13 22:45:09.735963+0200,342.039
first-use-short-v2,3,68252,model_preparation,interval,2026-07-13 22:45:09.759687+0200,2026-07-13 22:45:09.985410+0200,225.723
first-use-short-v2,3,68252,final_transcription,interval,2026-07-13 22:45:09.759641+0200,2026-07-13 22:45:10.153119+0200,393.478
first-use-short-v2,4,68761,process_started,event,2026-07-13 22:45:13.433117+0200,,
first-use-short-v2,4,68761,hotkey_registration,interval,2026-07-13 22:45:13.445453+0200,2026-07-13 22:45:13.472502+0200,27.049
first-use-short-v2,4,68761,hotkey_ready,event,2026-07-13 22:45:13.472519+0200,,
first-use-short-v2,4,68761,retained_store_opening,interval,2026-07-13 22:45:13.472543+0200,2026-07-13 22:45:13.496163+0200,23.620
first-use-short-v2,4,68761,service_container_construction,interval,2026-07-13 22:45:13.435677+0200,2026-07-13 22:45:13.595090+0200,159.413
first-use-short-v2,4,68761,app_initialization,interval,2026-07-13 22:45:13.435655+0200,2026-07-13 22:45:13.595147+0200,159.492
first-use-short-v2,4,68761,model_selection_restoration,interval,2026-07-13 22:45:13.768286+0200,2026-07-13 22:45:13.768349+0200,0.063
first-use-short-v2,4,68761,ui_ready,event,2026-07-13 22:45:13.769529+0200,,
first-use-short-v2,4,68761,process_to_ui_ready,interval,2026-07-13 22:45:13.432838+0200,2026-07-13 22:45:13.769541+0200,336.703
first-use-short-v2,4,68761,model_preparation,interval,2026-07-13 22:45:13.833209+0200,2026-07-13 22:45:14.050032+0200,216.823
first-use-short-v2,4,68761,final_transcription,interval,2026-07-13 22:45:13.833181+0200,2026-07-13 22:45:14.221087+0200,387.906
first-use-short-v2,5,69323,process_started,event,2026-07-13 22:45:17.491964+0200,,
first-use-short-v2,5,69323,hotkey_registration,interval,2026-07-13 22:45:17.508548+0200,2026-07-13 22:45:17.537093+0200,28.545
first-use-short-v2,5,69323,hotkey_ready,event,2026-07-13 22:45:17.537110+0200,,
