scenario,run,pid,name,type,start_timestamp,end_timestamp,duration_ms
first-use-short-v3,5,76866,hotkey_ready,event,2026-07-13 22:47:24.780398+0200,,
first-use-short-v3,5,76866,retained_store_opening,interval,2026-07-13 22:47:24.780430+0200,2026-07-13 22:47:24.798946+0200,18.516
first-use-short-v3,5,76866,service_container_construction,interval,2026-07-13 22:47:24.739713+0200,2026-07-13 22:47:24.903732+0200,164.019
first-use-short-v3,5,76866,app_initialization,interval,2026-07-13 22:47:24.739690+0200,2026-07-13 22:47:24.903812+0200,164.122
first-use-short-v3,5,76866,model_selection_restoration,interval,2026-07-13 22:47:25.066614+0200,2026-07-13 22:47:25.066679+0200,0.065
first-use-short-v3,5,76866,ui_ready,event,2026-07-13 22:47:25.067773+0200,,
first-use-short-v3,5,76866,process_to_ui_ready,interval,2026-07-13 22:47:24.736569+0200,2026-07-13 22:47:25.067786+0200,331.217
first-use-short-v3,5,76866,model_preparation,interval,2026-07-13 22:47:25.090089+0200,2026-07-13 22:47:25.248139+0200,158.050
first-use-short-v3,5,76866,final_transcription,interval,2026-07-13 22:47:25.090060+0200,2026-07-13 22:47:25.417980+0200,327.920
first-use-short-v3,6,77437,process_started,event,2026-07-13 22:47:28.787848+0200,,
first-use-short-v3,6,77437,hotkey_registration,interval,2026-07-13 22:47:28.803234+0200,2026-07-13 22:47:28.839477+0200,36.243
first-use-short-v3,6,77437,hotkey_ready,event,2026-07-13 22:47:28.839501+0200,,
first-use-short-v3,6,77437,retained_store_opening,interval,2026-07-13 22:47:28.839547+0200,2026-07-13 22:47:28.863572+0200,24.025
first-use-short-v3,6,77437,service_container_construction,interval,2026-07-13 22:47:28.791369+0200,2026-07-13 22:47:28.966475+0200,175.106
first-use-short-v3,6,77437,app_initialization,interval,2026-07-13 22:47:28.791346+0200,2026-07-13 22:47:28.966537+0200,175.191
first-use-short-v3,6,77437,model_selection_restoration,interval,2026-07-13 22:47:29.044017+0200,2026-07-13 22:47:29.044068+0200,0.051
first-use-short-v3,6,77437,ui_ready,event,2026-07-13 22:47:29.131475+0200,,
first-use-short-v3,6,77437,process_to_ui_ready,interval,2026-07-13 22:47:28.787448+0200,2026-07-13 22:47:29.131486+0200,344.038
first-use-short-v3,6,77437,model_preparation,interval,2026-07-13 22:47:29.130734+0200,2026-07-13 22:47:29.309270+0200,178.536
first-use-short-v3,6,77437,final_transcription,interval,2026-07-13 22:47:29.130710+0200,2026-07-13 22:47:29.495447+0200,364.737
first-use-short-v3,7,77937,process_started,event,2026-07-13 22:47:32.722136+0200,,
first-use-short-v3,7,77937,hotkey_registration,interval,2026-07-13 22:47:32.736631+0200,2026-07-13 22:47:32.765415+0200,28.784
first-use-short-v3,7,77937,hotkey_ready,event,2026-07-13 22:47:32.765433+0200,,
first-use-short-v3,7,77937,retained_store_opening,interval,2026-07-13 22:47:32.765461+0200,2026-07-13 22:47:32.783402+0200,17.941
first-use-short-v3,7,77937,service_container_construction,interval,2026-07-13 22:47:32.724443+0200,2026-07-13 22:47:32.890348+0200,165.905
first-use-short-v3,7,77937,app_initialization,interval,2026-07-13 22:47:32.724426+0200,2026-07-13 22:47:32.890412+0200,165.986
first-use-short-v3,7,77937,model_selection_restoration,interval,2026-07-13 22:47:33.049920+0200,2026-07-13 22:47:33.049985+0200,0.065
first-use-short-v3,7,77937,ui_ready,event,2026-07-13 22:47:33.051019+0200,,
first-use-short-v3,7,77937,process_to_ui_ready,interval,2026-07-13 22:47:32.721900+0200,2026-07-13 22:47:33.051027+0200,329.127
first-use-short-v3,7,77937,model_preparation,interval,2026-07-13 22:47:33.074278+0200,2026-07-13 22:47:33.239343+0200,165.065
first-use-short-v3,7,77937,final_transcription,interval,2026-07-13 22:47:33.074249+0200,2026-07-13 22:47:33.411536+0200,337.287
