category,metric,count,median,p90,minimum,maximum
benchmark,elapsedMilliseconds,7,345.560,458.118,327.979,598.141
benchmark,inferenceMilliseconds,7,176.408,226.850,169.718,288.028
signpost,app_initialization,7,165.986,183.178,157.243,186.656
signpost,final_transcription,7,345.530,458.085,327.920,598.106
signpost,hotkey_registration,7,29.534,32.840,28.162,36.243
signpost,model_preparation,7,169.119,233.493,158.050,309.790
signpost,model_selection_restoration,7,0.064,0.073,0.051,0.086
signpost,process_to_ui_ready,7,331.217,366.291,320.609,387.595
signpost,retained_store_opening,7,18.556,29.774,17.245,38.398
signpost,service_container_construction,7,165.905,182.981,157.151,186.287
memory,rss_first_kb,7,22224.000,23280.000,14704.000,24528.000
memory,rss_peak_kb,7,163344.000,166115.200,160512.000,166768.000
memory,rss_settled_kb,7,161648.000,162908.800,159600.000,163312.000
